transcript_id	cluster_int	sample_id	expression_value
ABP1_NM_001091	2	S00022	0.3567016195973979
ABP1_NM_001091	2	S00050	0.48711379368499885
ABP1_NM_001091	2	S00356	1.6852449763822646
ABP1_NM_001091	2	S00829	0.2042822241973972
ABP1_NM_001091	2	S00830	1.5391091691342846
ABP1_NM_001091	2	S00832	0.3277413923810409
ABP1_NM_001091	2	S00836	0.6104336066187757
ABP1_NM_001091	2	S00837	1.651591344797654
ABP1_NM_001091	2	S01242	0.3129950274667215
ABP1_NM_001091	2	S01453	1.509670509050027
ABP1_NM_001091	2	S01494	1.752131996499467
ABP1_NM_001091	2	S01542	2.240760045609598
ABP1_NM_001091	2	S01556	0.9902505807526757
ABP1_NM_001091	2	S01563	0.8200204359923758
ABP1_NM_001091	2	S01578	0.11914498688867148
ABP1_NM_001091	2	S01698	0.49856031157617364
ABP1_NM_001091	2	S01792	0.135140816394815
ABP1_NM_001091	2	S01864	0.8864838149929725
ABP1_NM_001091	2	S01873	0.2402899025442192
ABP1_NM_001091	2	S02065	0.04860169650469785
ABP1_NM_001091	2	S02093	1.2922281192028706
ABP1_NM_001091	2	S02120	0.16624753747541987
ABP1_NM_001091	2	S02163	0.09616603009333713
ABP1_NM_001091	2	S02194	1.3641409599437706
ABP1_NM_001091	2	S02209	1.306308909253326
ABP1_NM_001091	2	S02234	0.7830308026522209
ABP1_NM_001091	2	S02241	0.07353235092849782
ABP1_NM_001091	2	S02242	0.08562316613494032
ABP1_NM_001091	2	S02243	0.14955463895488688
ABP1_NM_001091	2	S02246	0.5766111396638217
ABP1_NM_001091	2	S02255	0.1405915185751345
ABP1_NM_001091	2	S02256	0.26543329530823
ABP1_NM_001091	2	S02284	1.6622009413682453
ABP1_NM_001091	2	S02285	1.6000270634171305
ABP1_NM_001091	2	S02286	0.4173486479232707
ABP1_NM_001091	2	S02287	0.44543326196280636
ABP1_NM_001091	2	S02288	0.3982868816103361
ABP1_NM_001091	2	S02290	0.09258497960896889
ABP1_NM_001091	2	S02293	0.02609748168120393
ABP1_NM_001091	2	S02294	0.0579492803745773
ABP1_NM_001091	2	S02295	0.07948119975187352
ABP1_NM_001091	2	S02296	1.9004166652006473
ABP1_NM_001091	2	S02297	0.16050590230973458
ABP1_NM_001091	2	S02298	0.09326538736010016
ABP1_NM_001091	2	S02299	0.3232478455629503
ABP1_NM_001091	2	S02322	0.5082298562503126
ABP1_NM_001091	2	S02328	0.6543713789022311
ABP1_NM_001091	2	S02347	0.6015149203718292
ABP1_NM_001091	2	S02351	0.14628374874649244
ABP1_NM_001091	2	S02352	0.34803294407712215
ABP1_NM_001091	2	S02353	0.6144111458796061
ABP1_NM_001091	2	S02354	0.5753500920097536
ABP1_NM_001091	2	S02360	0.41759709307036297
ABP1_NM_001091	2	S02376	1.8818172980975798
ABP1_NM_001091	2	S02382	0.21357249568153275
ABP1_NM_001091	1	S00035	3.0521515381507953
ABP1_NM_001091	1	S00213	2.62995339349171
ABP1_NM_001091	1	S00472	5.115391208036424
ABP1_NM_001091	1	S00501	7.247633249578372
ABP1_NM_001091	1	S00825	3.0326051691661418
ABP1_NM_001091	1	S00827	3.022129859700713
ABP1_NM_001091	1	S00831	2.6861396682287486
ABP1_NM_001091	1	S00838	2.9070040831546167
ABP1_NM_001091	1	S01248	6.433231556711504
ABP1_NM_001091	1	S01297	2.7945489520783062
ABP1_NM_001091	1	S01366	5.935226351788194
ABP1_NM_001091	1	S01512	4.225884151670589
ABP1_NM_001091	1	S01524	4.107143827202206
ABP1_NM_001091	1	S01728	6.666500973662678
ABP1_NM_001091	1	S01861	5.29810106963049
ABP1_NM_001091	1	S02139	6.050638820965516
ABP1_NM_001091	1	S02244	3.1108943834448453
ABP1_NM_001091	1	S02248	5.647933250416853
ABP1_NM_001091	1	S02249	2.9390083700605336
ABP1_NM_001091	1	S02289	3.333157497576056
ABP1_NM_001091	1	S02291	4.822276366838665
ABP1_NM_001091	1	S02342	3.388345235095764
ABP1_NM_001091	1	S02350	2.967758847917618
ABP1_NM_001091	1	S02375	4.650322263944201
ABP1_NM_001091	1	S02378	4.4283367208671525
ABP1_NM_001091	1	S02397	2.636768447894742
ACTL6B_NM_016188	1	S00022	2.831137467722402
ACTL6B_NM_016188	1	S00050	6.1434730129022785
ACTL6B_NM_016188	1	S00213	3.3655693682189622
ACTL6B_NM_016188	1	S00356	4.704036419821064
ACTL6B_NM_016188	1	S00472	4.423712619054294
ACTL6B_NM_016188	1	S00501	4.063226801996981
ACTL6B_NM_016188	1	S00825	3.447756381942375
ACTL6B_NM_016188	1	S00827	5.5443802837803275
ACTL6B_NM_016188	1	S00830	5.012439057531416
ACTL6B_NM_016188	1	S00831	3.5462524334829237
ACTL6B_NM_016188	1	S00832	4.4387186765647915
ACTL6B_NM_016188	1	S00836	3.504925423423271
ACTL6B_NM_016188	1	S00838	3.6449752869728775
ACTL6B_NM_016188	1	S01242	3.3161399483257346
ACTL6B_NM_016188	1	S01248	3.7889988521061113
ACTL6B_NM_016188	1	S01297	4.202707642016053
ACTL6B_NM_016188	1	S01366	4.395741474504603
ACTL6B_NM_016188	1	S01453	4.980884444459728
ACTL6B_NM_016188	1	S01494	4.891545562951866
ACTL6B_NM_016188	1	S01512	5.288956484835
ACTL6B_NM_016188	1	S01524	4.623445507162354
ACTL6B_NM_016188	1	S01563	4.0895828931247085
ACTL6B_NM_016188	1	S01578	4.198085489325902
ACTL6B_NM_016188	1	S01698	3.7763672295739203
ACTL6B_NM_016188	1	S01728	4.492019798125148
ACTL6B_NM_016188	1	S01792	3.909533114946894
ACTL6B_NM_016188	1	S01861	3.706630007213162
ACTL6B_NM_016188	1	S01864	3.6844597018913463
ACTL6B_NM_016188	1	S01873	4.929847795617894
ACTL6B_NM_016188	1	S02065	4.847044814483894
ACTL6B_NM_016188	1	S02093	2.7041039453730367
ACTL6B_NM_016188	1	S02139	4.276913483245923
ACTL6B_NM_016188	1	S02163	5.264085987625156
ACTL6B_NM_016188	1	S02194	4.126774670250051
ACTL6B_NM_016188	1	S02234	5.081927562680162
ACTL6B_NM_016188	1	S02241	5.250965362118163
ACTL6B_NM_016188	1	S02242	5.170161423756603
ACTL6B_NM_016188	1	S02243	3.7742810394575677
ACTL6B_NM_016188	1	S02244	3.083375077213999
ACTL6B_NM_016188	1	S02248	4.256754049203971
ACTL6B_NM_016188	1	S02249	3.792053632396934
ACTL6B_NM_016188	1	S02256	4.909057818531947
ACTL6B_NM_016188	1	S02284	3.5308448341384473
ACTL6B_NM_016188	1	S02285	4.4517650003882325
ACTL6B_NM_016188	1	S02287	3.648419423312773
ACTL6B_NM_016188	1	S02289	4.164689752052496
ACTL6B_NM_016188	1	S02290	2.9155782632314753
ACTL6B_NM_016188	1	S02293	4.143499543329504
ACTL6B_NM_016188	1	S02294	4.32852773351345
ACTL6B_NM_016188	1	S02295	4.783577135843256
ACTL6B_NM_016188	1	S02297	3.083916244850344
ACTL6B_NM_016188	1	S02322	4.132395877552805
ACTL6B_NM_016188	1	S02342	4.72078736878484
ACTL6B_NM_016188	1	S02347	3.805612331054083
